"No.","Time","Source","Destination","Protocol","Length","Info"
"464","8.722537","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=11145 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"465","8.722537","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=12585 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"466","8.722537","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=14025 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"467","8.722598","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=2631 Ack=15465 Win=132352 Len=0"
"468","8.725866","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=15465 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"469","8.725866","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=16905 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"470","8.725866","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=18345 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"471","8.725866","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=19785 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"472","8.725866","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"473","8.725866","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=22665 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"474","8.728321","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=24105 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"475","8.728321","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=25545 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"476","8.728321","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=26985 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"477","8.728321","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=28425 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"478","8.728498","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=2631 Ack=29865 Win=132352 Len=0"
"479","8.729547","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=29865 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"480","8.729547","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=31305 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"481","8.729547","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=32745 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"482","8.730822","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=34185 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"483","8.730822","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=35625 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"484","8.730822","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"485","8.731011","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=2631 Ack=38505 Win=132352 Len=0"
"487","8.731877","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=38505 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"488","8.731877","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=39945 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"492","8.745165","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=41385 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"493","8.745165","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=42825 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"494","8.745165","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=44265 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"495","8.745165","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=45705 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"496","8.745165","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=47145 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"497","8.745165","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=48585 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"498","8.745304","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=2631 Ack=50025 Win=132352 Len=0"
"499","8.746336","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=50025 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"500","8.746336","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=51465 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"501","8.747484","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"502","8.747484","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=54345 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"503","8.747616","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=2631 Ack=55785 Win=132352 Len=0"
"504","8.748658","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=55785 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"505","8.748658","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=57225 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"506","8.748658","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=58665 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"507","8.748658","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=60105 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"509","8.749734","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=61545 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"510","8.749734","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=62985 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"511","8.749843","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=2631 Ack=64425 Win=132352 Len=0"
"514","8.750798","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=64425 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"515","8.750798","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=65865 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"516","8.751779","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=67305 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"517","8.751779","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=68745 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"518","8.751876","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=2631 Ack=70185 Win=132352 Len=0"
"519","8.752752","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"520","8.752752","187.33.247.110","192.168.0.112","TLSv1.3","69","Application Data"
"521","8.752798","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=2631 Ack=71640 Win=132352 Len=0"
"1574","10.255656","192.168.0.112","187.33.247.110","TLSv1.3","1662","Application Data"
"1580","10.277325","187.33.247.110","192.168.0.112","TCP","60","443  >  57964 [ACK] Seq=71640 Ack=4239 Win=73984 Len=0"
"1610","10.497682","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data, Application Data"
"1611","10.498861","187.33.247.110","192.168.0.112","TLSv1.3","1471","Application Data"
"1612","10.499036","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=4239 Ack=74497 Win=132352 Len=0"
"1620","10.609872","192.168.0.112","187.33.247.110","TLSv1.3","1546","Application Data"
"1621","10.635421","187.33.247.110","192.168.0.112","TCP","60","443  >  57964 [ACK] Seq=74497 Ack=5731 Win=77056 Len=0"
"1622","10.635421","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data"
"1623","10.635421","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=75937 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1624","10.635421","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=77377 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1625","10.635421","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=78817 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1626","10.635421","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=80257 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1627","10.635421","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=81697 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1628","10.635421","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=83137 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1629","10.635421","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=84577 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1630","10.635421","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=86017 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1631","10.636435","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=87457 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1632","10.636435","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=88897 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1633","10.636435","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=90337 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1634","10.636435","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"1635","10.636435","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=93217 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1636","10.636435","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=94657 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1637","10.636435","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=96097 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
"1638","10.636435","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=97537 Ack=5731 Win=77056 Len=1440 [TCP segment of a reassembled PDU]"
